tokenizer,compression_ratio,fertility,fragmentation_rate,stability_under_noise,samples_used
litetoken_pruned_corrupted,3.365198535317917,1.8417753351980986,0.4765502501674349,0.3520028588600503,80000
baseline_roberta,4.537491649349228,1.6213459795926408,0.39017879420609597,0.26393343220154947,80000
sentencepiece_unigram_corrupted,4.72903578780118,1.3051862138701755,0.23053454411745394,0.2549655318731807,80000
dropout_bpe_corrupted,3.971126949453793,1.5583668203128078,0.3554101170074459,0.23118305242418904,80000
